Date,Amount,Category,Description,Payment Method
2024-09-13,2744.2,Entertainment,Netflix subscription,UPI
2025-02-04,4161.47,Food,Coffee at Starbucks,Credit Card
2024-10-17,1773.75,Utilities,Mobile bill,Cash
2025-04-06,1992.91,Entertainment,Netflix subscription,Net Banking
2024-08-20,1642.68,Food,Snacks from 7-Eleven,Credit Card
2024-08-27,2462.19,Transport,Bus fare,UPI
2025-05-02,3490.8,Entertainment,Movie ticket,Net Banking
2024-10-03,4551.91,Education,Online course,Credit Card
2024-06-21,317.48,Health,Medical test,UPI
2024-12-06,3770.78,Transport,Car maintenance,Credit Card
2024-12-06,2607.28,Shopping,New clothes,Debit Card
2025-03-14,653.51,Others,Pet food,UPI
2025-03-03,731.98,Health,Health insurance,Net Banking
2024-10-17,2246.84,Utilities,Gas bill,Net Banking
2025-05-07,951.64,Shopping,Mobile accessories,Credit Card
2024-07-15,693.2,Utilities,Water bill,Debit Card
2025-04-17,677.57,Others,Laundry,Debit Card
2024-07-24,1862.38,Utilities,Internet recharge,UPI
2024-10-18,623.04,Shopping,Bought shoes,Debit Card
2025-01-07,4225.52,Education,Tuition fee,UPI
2024-08-21,1714.5,Food,Groceries from Walmart,Cash
2025-03-10,4600.05,Food,Dinner at KFC,Cash
2024-10-22,2834.6,Shopping,Amazon order,Debit Card
2025-04-30,1263.26,Utilities,Mobile bill,Credit Card
2024-09-21,2533.32,Food,Lunch at Subway,Credit Card
2024-07-01,4499.02,Utilities,Water bill,Credit Card
2025-02-24,1665.15,Shopping,Amazon order,Cash
2025-02-19,617.8,Food,Dinner at KFC,Cash
2024-12-02,2024.42,Health,Medical test,Cash
2024-06-12,2161.58,Shopping,Bought shoes,Cash
2025-05-06,3443.74,Others,Laundry,UPI
2025-03-13,4666.19,Travel,Hotel stay,Credit Card
2024-12-01,925.82,Travel,Hotel stay,Cash
2024-12-02,2370.86,Shopping,Amazon order,Cash
2025-03-30,4498.36,Entertainment,Game purchase,Net Banking
2024-11-21,2727.5,Shopping,Amazon order,Net Banking
2024-06-25,4708.21,Health,Medical test,Debit Card
2025-04-07,3341.27,Entertainment,Movie ticket,Net Banking
2024-05-25,4505.77,Education,Learning app subscription,Net Banking
2024-10-22,3730.35,Utilities,Mobile bill,Cash
2024-11-19,4543.46,Utilities,Water bill,Net Banking
2025-03-08,695.86,Others,Stationery,Net Banking
2025-03-31,3628.3,Food,Snacks from 7-Eleven,Cash
2025-02-16,4268.0,Food,Snacks from 7-Eleven,Cash
2024-11-15,785.46,Shopping,Gift shopping,Net Banking
2024-11-01,2941.51,Transport,Uber ride,Credit Card
2025-03-22,4005.97,Shopping,Gift shopping,Debit Card
2024-10-23,4031.6,Food,Lunch at Subway,Net Banking
2024-11-13,2396.19,Transport,Uber ride,Net Banking
2024-11-03,1216.66,Others,Pet food,Cash
2024-12-18,1710.64,Shopping,Bought shoes,UPI
2024-11-28,1170.92,Food,Snacks from 7-Eleven,UPI
2025-04-05,3698.82,Transport,Train ticket,Cash
2025-05-11,2263.81,Others,Stationery,Debit Card
2024-05-23,3003.96,Entertainment,Game purchase,Cash
2024-12-09,4255.58,Food,Coffee at Starbucks,Debit Card
2024-11-10,3583.1,Utilities,Water bill,Debit Card
2024-07-18,2405.39,Travel,Train reservation,Debit Card
2025-01-26,2407.24,Education,Tuition fee,UPI
2025-03-20,2717.14,Health,Doctor visit,Net Banking
2025-03-17,4566.84,Entertainment,Game purchase,Cash
2024-08-02,2110.2,Health,Pharmacy purchase,Debit Card
2025-01-24,287.65,Others,Stationery,Net Banking
2024-12-14,1378.39,Utilities,Mobile bill,UPI
2024-05-23,3248.65,Others,Stationery,UPI
2024-09-11,4072.18,Transport,Gas refill,Cash
2024-11-12,3038.81,Shopping,Bought shoes,Net Banking
2024-06-28,3787.34,Transport,Gas refill,Credit Card
2024-11-16,4916.99,Shopping,Amazon order,UPI
2025-03-16,1779.02,Entertainment,Concert ticket,UPI
2024-10-13,2493.54,Food,Snacks from 7-Eleven,Credit Card
2024-05-30,1593.7,Travel,Flight booking,Net Banking
2024-09-16,3824.11,Travel,Travel insurance,Net Banking
2024-07-11,4388.94,Health,Medical test,Cash
2024-10-25,2658.24,Entertainment,Spotify subscription,Debit Card
2024-05-15,742.13,Health,Gym membership,Cash
2025-01-29,3804.43,Entertainment,Netflix subscription,Debit Card
2024-12-10,2277.83,Utilities,Mobile bill,Credit Card
2024-07-26,1623.08,Utilities,Mobile bill,Credit Card
2024-07-30,3153.07,Utilities,Electricity bill,Credit Card
2025-01-08,4089.6,Entertainment,Netflix subscription,Net Banking
2025-01-13,2380.7,Utilities,Electricity bill,Net Banking
2024-10-26,3027.76,Food,Coffee at Starbucks,Net Banking
2024-12-25,1455.45,Education,Learning app subscription,Credit Card
2024-12-06,2846.83,Transport,Gas refill,Debit Card
2024-06-28,2816.22,Utilities,Mobile bill,UPI
2025-02-08,2400.48,Health,Medical test,Net Banking
2025-03-06,320.69,Food,Dinner at KFC,UPI
2024-05-17,4783.94,Shopping,New clothes,Credit Card
2025-01-17,1872.7,Travel,Flight booking,Net Banking
2025-02-03,3606.59,Health,Pharmacy purchase,Debit Card
2024-09-27,3359.53,Health,Pharmacy purchase,Debit Card
2024-09-07,2349.62,Transport,Gas refill,Debit Card
2024-12-06,4265.34,Food,Coffee at Starbucks,Credit Card
2025-04-04,2895.95,Education,Online course,Cash
2024-10-01,4208.26,Transport,Uber ride,Net Banking
2024-06-20,2138.86,Entertainment,Concert ticket,Credit Card
2024-10-20,1594.91,Others,Random expense,Credit Card
2025-05-11,355.97,Food,Dinner at KFC,Net Banking
2024-12-23,156.27,Transport,Bus fare,Net Banking
2025-01-29,4965.34,Travel,Train reservation,Debit Card
2024-11-17,4116.43,Food,Coffee at Starbucks,Debit Card
2024-12-27,4118.94,Health,Health insurance,Debit Card
2024-07-24,2958.4,Transport,Gas refill,Net Banking
2025-01-18,106.24,Health,Gym membership,Net Banking
2025-01-26,3895.96,Health,Medical test,Net Banking
2025-02-01,2119.96,Utilities,Mobile bill,Cash
2024-10-26,4356.92,Shopping,New clothes,UPI
2024-09-06,3772.93,Others,Stationery,Net Banking
2024-12-28,3381.36,Food,Lunch at Subway,Credit Card
2025-03-13,298.3,Utilities,Gas bill,Debit Card
2025-03-07,2661.73,Transport,Train ticket,Net Banking
2025-03-01,2635.39,Health,Gym membership,Debit Card
2024-05-21,4155.44,Entertainment,Netflix subscription,Debit Card
2025-02-03,2238.49,Shopping,Mobile accessories,Debit Card
2024-07-21,3571.19,Transport,Gas refill,Debit Card
2024-09-11,4183.66,Education,Tuition fee,Credit Card
2024-10-15,3769.5,Travel,Flight booking,Net Banking
2024-08-17,2626.64,Health,Doctor visit,UPI
2024-08-12,1068.86,Utilities,Internet recharge,Net Banking
2024-09-23,4858.51,Shopping,Bought shoes,UPI
2025-01-31,721.47,Health,Health insurance,Credit Card
2024-05-21,4929.19,Food,Coffee at Starbucks,UPI
2024-12-03,553.81,Others,Laundry,Credit Card
2025-01-09,728.32,Health,Pharmacy purchase,Cash
2025-01-21,3679.25,Transport,Car maintenance,UPI
2024-07-28,499.98,Transport,Uber ride,Debit Card
2025-01-27,4308.71,Utilities,Mobile bill,Net Banking
2024-11-30,2309.99,Education,Tuition fee,Credit Card
2025-03-11,4658.83,Others,Charity donation,Net Banking
2024-08-02,1645.92,Health,Pharmacy purchase,Net Banking
2024-12-27,3152.06,Travel,Train reservation,Debit Card
2024-08-29,2703.91,Utilities,Electricity bill,Cash
2025-02-20,4901.32,Education,Learning app subscription,Credit Card
2024-06-18,3642.42,Entertainment,Netflix subscription,Debit Card
2024-11-18,4154.14,Transport,Uber ride,Net Banking
2024-07-13,1237.75,Health,Gym membership,Net Banking
2025-05-06,4166.9,Others,Random expense,Debit Card
2024-10-26,3148.42,Shopping,Mobile accessories,UPI
2024-11-04,105.04,Entertainment,Netflix subscription,Debit Card
2024-09-17,3871.15,Travel,Travel insurance,Credit Card
2024-05-29,1219.06,Transport,Uber ride,Credit Card
2024-05-25,3317.66,Utilities,Electricity bill,Cash
2024-07-03,992.57,Education,Tuition fee,Credit Card
2024-11-21,3463.13,Education,Learning app subscription,Credit Card
2024-08-19,3914.77,Food,Groceries from Walmart,UPI
2024-09-05,4521.65,Shopping,Gift shopping,Debit Card
2025-03-04,494.0,Entertainment,Game purchase,Debit Card
2024-11-08,532.51,Entertainment,Concert ticket,Net Banking
2024-09-13,3966.31,Education,Tuition fee,Debit Card
2024-12-16,932.19,Food,Snacks from 7-Eleven,Cash
2024-07-11,1383.82,Shopping,Amazon order,Credit Card
2025-01-26,4783.24,Health,Gym membership,Cash
2024-07-20,2169.62,Utilities,Electricity bill,UPI
2025-03-25,990.89,Utilities,Internet recharge,Cash
2025-02-11,3385.74,Food,Lunch at Subway,Credit Card
2024-07-05,1191.2,Food,Coffee at Starbucks,Debit Card
2025-04-15,4040.88,Utilities,Water bill,Cash
2024-09-12,2289.68,Entertainment,Spotify subscription,Credit Card
2024-08-07,2351.68,Utilities,Mobile bill,Cash
2024-11-04,3928.19,Entertainment,Netflix subscription,Credit Card
2024-12-10,3907.98,Health,Doctor visit,UPI
2024-05-17,4400.01,Transport,Bus fare,Net Banking
2024-11-21,4746.33,Health,Doctor visit,Net Banking
2025-03-21,2246.1,Entertainment,Netflix subscription,UPI
2025-03-10,1598.08,Education,Online course,Credit Card
2024-05-26,3231.96,Shopping,Amazon order,Debit Card
2024-09-12,3728.12,Travel,Hotel stay,Debit Card
2024-05-27,4287.83,Food,Coffee at Starbucks,Cash
2024-09-25,1868.47,Health,Doctor visit,Cash
2024-08-15,1974.04,Education,Learning app subscription,Net Banking
2024-07-04,3803.59,Travel,Travel insurance,Credit Card
2024-07-01,3356.94,Education,Online course,Credit Card
2024-08-28,426.93,Transport,Train ticket,Debit Card
2024-10-07,2429.17,Others,Charity donation,UPI
2025-03-17,4072.04,Food,Snacks from 7-Eleven,Cash
2024-09-22,1595.2,Others,Pet food,Credit Card
2024-12-03,4691.52,Education,Learning app subscription,Cash
2025-05-07,3004.62,Food,Groceries from Walmart,Net Banking
2024-07-17,4036.48,Food,Dinner at KFC,UPI
2024-06-19,2630.48,Education,Learning app subscription,Net Banking
2024-10-03,1679.09,Health,Pharmacy purchase,Cash
2025-03-31,69.87,Health,Pharmacy purchase,Debit Card
2025-04-27,1189.45,Travel,Cab from airport,UPI
2025-03-12,720.73,Entertainment,Spotify subscription,Cash
2025-03-17,2702.59,Utilities,Gas bill,Debit Card
2024-06-03,3712.08,Health,Gym membership,UPI
2025-02-05,1392.56,Entertainment,Movie ticket,Credit Card
2025-03-24,915.86,Travel,Train reservation,Credit Card
2024-05-28,2773.86,Travel,Train reservation,Debit Card
2025-04-05,2751.9,Food,Lunch at Subway,Debit Card
2024-08-24,2300.1,Utilities,Internet recharge,Credit Card
2024-10-13,3007.64,Food,Dinner at KFC,Cash
2024-05-28,1305.41,Others,Stationery,Debit Card
2024-10-17,3763.58,Others,Stationery,Debit Card
2024-12-02,3173.3,Others,Random expense,Debit Card
2025-01-31,2967.34,Travel,Train reservation,Credit Card
2025-04-25,3594.65,Education,Online course,UPI
2024-11-15,4470.71,Transport,Gas refill,Net Banking
2025-01-17,1393.93,Transport,Uber ride,Cash
2024-07-02,1469.86,Shopping,Amazon order,Debit Card
2024-09-17,2246.79,Shopping,Gift shopping,Cash
2024-06-30,3656.4,Health,Pharmacy purchase,Net Banking
2025-02-14,1078.18,Shopping,Gift shopping,Debit Card
2025-01-17,592.64,Shopping,Gift shopping,Debit Card
2024-10-23,340.7,Education,Book purchase,UPI
2025-01-22,1483.25,Utilities,Internet recharge,Net Banking
2025-04-18,1106.39,Travel,Train reservation,Debit Card
2024-10-20,4863.06,Shopping,Amazon order,UPI
2025-01-26,1516.82,Travel,Travel insurance,Debit Card
2024-05-25,2430.09,Utilities,Water bill,UPI
2025-02-23,3950.52,Education,Learning app subscription,Debit Card
2025-04-13,1291.74,Education,Online course,Net Banking
2024-12-09,2342.16,Shopping,Gift shopping,Cash
2024-08-24,2005.94,Travel,Hotel stay,Net Banking
2025-02-15,3832.71,Utilities,Electricity bill,Credit Card
2024-07-31,2623.92,Education,Tuition fee,UPI
2025-01-20,2364.19,Travel,Flight booking,Debit Card
2024-12-08,1712.73,Others,Laundry,Debit Card
2025-04-19,2480.59,Utilities,Electricity bill,Net Banking
2024-08-22,318.21,Transport,Uber ride,UPI
2024-05-25,4935.89,Utilities,Gas bill,Net Banking
2024-10-16,266.47,Transport,Bus fare,Net Banking
2025-01-05,4727.01,Shopping,New clothes,Net Banking
2025-02-18,521.13,Food,Lunch at Subway,Net Banking
2024-12-13,865.57,Health,Health insurance,UPI
2025-04-04,4882.38,Health,Doctor visit,Net Banking
2024-12-01,588.73,Education,Exam registration,Net Banking
2024-07-19,2487.66,Travel,Train reservation,Net Banking
2024-07-09,2686.48,Education,Book purchase,Net Banking
2024-09-20,4488.78,Transport,Bus fare,UPI
2024-06-27,4797.55,Health,Gym membership,UPI
2024-07-03,2519.34,Others,Charity donation,Credit Card
2024-08-18,3492.75,Shopping,Amazon order,Cash
2025-04-28,120.62,Travel,Hotel stay,UPI
2024-07-11,3280.05,Health,Health insurance,Credit Card
2025-01-20,4682.47,Utilities,Electricity bill,UPI
2024-09-11,2571.94,Entertainment,Game purchase,Cash
2024-11-21,715.23,Transport,Uber ride,UPI
2025-02-19,1346.86,Travel,Train reservation,UPI
2025-04-16,3270.27,Travel,Cab from airport,Debit Card
2024-12-14,1435.29,Transport,Uber ride,Debit Card
2024-11-22,1014.6,Shopping,Mobile accessories,Credit Card
2024-05-27,390.36,Utilities,Water bill,Credit Card
2024-11-11,967.05,Entertainment,Netflix subscription,Net Banking
2025-03-09,4194.99,Utilities,Internet recharge,Net Banking
2024-10-02,885.3,Transport,Uber ride,Net Banking
2024-11-05,3071.29,Health,Health insurance,Cash
2024-08-01,4489.28,Travel,Flight booking,Net Banking
2024-05-27,4265.21,Food,Coffee at Starbucks,Net Banking
2025-01-17,2955.01,Others,Random expense,Debit Card
2024-12-10,3193.42,Travel,Hotel stay,Net Banking
2024-09-14,1822.02,Food,Dinner at KFC,Cash
2025-01-06,131.92,Food,Coffee at Starbucks,Debit Card
2025-01-19,2737.39,Health,Health insurance,Net Banking
2025-02-09,4321.94,Utilities,Water bill,UPI
2025-05-02,4591.79,Utilities,Mobile bill,Cash
2025-04-01,4647.35,Entertainment,Concert ticket,Net Banking
2024-11-30,1459.69,Transport,Uber ride,Cash
2024-08-26,1443.09,Entertainment,Spotify subscription,Credit Card
2024-11-22,1360.96,Education,Exam registration,Credit Card
2025-05-09,745.68,Health,Pharmacy purchase,Net Banking
2025-02-07,408.43,Travel,Train reservation,Net Banking
2024-10-11,3133.14,Entertainment,Game purchase,Credit Card
2025-04-13,2811.25,Education,Online course,Credit Card
2024-05-27,3622.52,Health,Pharmacy purchase,Credit Card
2024-09-05,3347.91,Shopping,New clothes,Debit Card
2025-01-10,218.91,Transport,Car maintenance,Cash
2025-02-09,1623.51,Food,Coffee at Starbucks,Cash
2024-09-06,696.6,Education,Tuition fee,Credit Card
2024-10-14,4418.76,Entertainment,Spotify subscription,Net Banking
2024-11-23,4544.98,Transport,Uber ride,Debit Card
2024-05-24,4538.99,Shopping,Amazon order,Debit Card
2024-08-18,1128.25,Education,Tuition fee,Debit Card
2024-05-12,1291.53,Education,Tuition fee,UPI
2025-04-02,3606.98,Entertainment,Spotify subscription,Credit Card
2024-11-18,3048.05,Education,Online course,Debit Card
2025-02-01,2551.14,Entertainment,Concert ticket,Credit Card
2024-12-22,764.54,Entertainment,Concert ticket,UPI
2024-11-06,2540.07,Others,Stationery,Credit Card
2025-03-29,4764.83,Others,Laundry,Cash
2025-01-09,387.57,Transport,Car maintenance,Cash
2025-01-22,4455.49,Health,Gym membership,Net Banking
2024-06-24,4421.27,Health,Pharmacy purchase,Credit Card
2025-04-24,2334.19,Shopping,Mobile accessories,Cash
2025-02-13,931.81,Education,Exam registration,Credit Card
2024-09-12,618.49,Shopping,New clothes,UPI
2025-03-14,1969.48,Travel,Cab from airport,Credit Card
2024-06-23,1292.33,Shopping,Amazon order,Net Banking
2024-06-05,1789.25,Health,Health insurance,Net Banking
2024-07-15,2731.32,Education,Tuition fee,Credit Card
2025-02-26,3704.17,Transport,Car maintenance,UPI
2024-10-07,2561.05,Others,Random expense,Cash
2024-10-24,3204.96,Shopping,Amazon order,Debit Card
2024-08-09,3897.9,Others,Charity donation,Cash
2025-01-08,1196.77,Others,Stationery,Cash
2025-02-15,2343.97,Others,Stationery,Net Banking
2024-06-15,2908.16,Shopping,Bought shoes,Cash
2024-10-10,2210.12,Entertainment,Game purchase,Credit Card
2024-10-08,1230.36,Health,Health insurance,Debit Card
2024-07-30,648.66,Shopping,Gift shopping,Cash
2024-05-19,3807.43,Entertainment,Game purchase,Cash
2024-12-19,4055.24,Shopping,Gift shopping,UPI
2024-08-16,3953.4,Health,Medical test,UPI
2025-03-11,185.41,Food,Coffee at Starbucks,Debit Card
2024-08-31,3926.46,Travel,Hotel stay,Credit Card
2024-06-27,2971.9,Shopping,Bought shoes,Net Banking
2025-04-07,3242.24,Education,Exam registration,Net Banking
2024-11-24,1438.68,Travel,Travel insurance,Debit Card
2024-11-06,1686.96,Travel,Flight booking,Debit Card
2025-04-29,177.48,Food,Coffee at Starbucks,Cash
2024-10-29,2489.32,Food,Groceries from Walmart,Net Banking
2025-04-14,2248.66,Health,Doctor visit,UPI
2025-01-01,379.46,Education,Exam registration,Cash
